ID,Idade
3,14
8,1
13,9
18,8
23,5
28,11
33,13
38,7
43,13
48,9
53,14
58,1
63,14
68,5
73,9
78,12
83,4
88,0
93,0
98,8
103,16
108,21
113,18
118,19
123,19
128,20
133,17
138,16
143,21
148,16
153,17
158,24
163,22
168,24
173,24
178,15
183,15
188,23
193,27
198,33
203,27
208,32
213,25
218,28
223,29
228,31
233,32
238,25
243,27
248,32
253,26
258,28
263,32
268,28
273,26
278,28
283,25
288,29
293,34
298,30
303,41
308,39
313,41
318,38
323,38
328,35
333,40
338,39
343,42
348,44
353,43
358,44
363,37
368,44
373,35
378,40
383,46
388,52
393,48
398,48
403,48
408,54
413,50
418,52
423,47
428,47
433,60
438,61
443,59
448,58
453,62
458,55
463,56
468,61
473,91
478,86
483,67
488,87
493,73
498,76
